accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,n_groups,background_groups,drone_groups,false_alarm_count,false_alarm_rate,missed_drone_count,missed_drone_rate,detection_rate,coverage,permutation,seed
0.8181818181818182,0.5388888888888889,0.6650943396226415,0.5388888888888889,0.532312925170068,55,10,45,9,0.9,1,0.022222222222222223,0.9777777777777777,1.0,66,10107
0.509090909090909,0.5833333333333333,0.5504032258064516,0.5833333333333333,0.47507953340402975,55,10,45,3,0.3,24,0.5333333333333333,0.4666666666666667,1.0,67,10108
0.5454545454545454,0.6055555555555555,0.5629973474801061,0.6055555555555555,0.5034308414590105,55,10,45,3,0.3,22,0.4888888888888889,0.5111111111111111,1.0,68,10109
0.3090909090909091,0.5777777777777777,0.6041666666666666,0.5777777777777777,0.30702917771883287,55,10,45,0,0.0,38,0.8444444444444444,0.15555555555555556,1.0,69,10110
0.6181818181818182,0.6499999999999999,0.5900000000000001,0.6499999999999999,0.56,55,10,45,3,0.3,18,0.4,0.6,1.0,70,10111
0.2,0.5111111111111111,0.5925925925925926,0.5111111111111111,0.1779891304347826,55,10,45,0,0.0,44,0.9777777777777777,0.022222222222222223,1.0,71,10112
0.8545454545454545,0.6388888888888888,0.8063725490196079,0.6388888888888888,0.6726190476190476,55,10,45,7,0.7,1,0.022222222222222223,0.9777777777777777,1.0,72,10113
0.3090909090909091,0.5777777777777777,0.6041666666666666,0.5777777777777777,0.30702917771883287,55,10,45,0,0.0,38,0.8444444444444444,0.15555555555555556,1.0,73,10114
0.5272727272727272,0.6333333333333333,0.5815217391304348,0.6333333333333333,0.4992997198879552,55,10,45,2,0.2,24,0.5333333333333333,0.4666666666666667,1.0,74,10115
0.8181818181818182,0.5,0.4090909090909091,0.5,0.45,55,10,45,10,1.0,0,0.0,1.0,1.0,75,10116
0.21818181818181817,0.5222222222222223,0.5943396226415094,0.5222222222222223,0.20128335021952043,55,10,45,0,0.0,43,0.9555555555555556,0.044444444444444446,1.0,76,10117
0.8181818181818182,0.5,0.4090909090909091,0.5,0.45,55,10,45,10,1.0,0,0.0,1.0,1.0,77,10118
0.8545454545454545,0.6777777777777778,0.7721088435374149,0.6777777777777778,0.7074468085106382,55,10,45,6,0.6,2,0.044444444444444446,0.9555555555555556,1.0,78,10119
0.4909090909090909,0.65,0.5986842105263157,0.65,0.47690217391304346,55,10,45,1,0.1,27,0.6,0.4,1.0,79,10120
0.5272727272727272,0.6333333333333333,0.5815217391304348,0.6333333333333333,0.4992997198879552,55,10,45,2,0.2,24,0.5333333333333333,0.4666666666666667,1.0,80,10121
0.7818181818181819,0.5166666666666667,0.5367647058823529,0.5166666666666667,0.5089285714285714,55,10,45,9,0.9,3,0.06666666666666667,0.9333333333333333,1.0,81,10122
0.2545454545454545,0.5444444444444444,0.5980392156862745,0.5444444444444444,0.24556707929073268,55,10,45,0,0.0,41,0.9111111111111111,0.08888888888888889,1.0,82,10123
0.8181818181818182,0.5,0.4090909090909091,0.5,0.45,55,10,45,10,1.0,0,0.0,1.0,1.0,83,10124
0.8181818181818182,0.5388888888888889,0.6650943396226415,0.5388888888888889,0.532312925170068,55,10,45,9,0.9,1,0.022222222222222223,0.9777777777777777,1.0,84,10125
